"","cns_x","cns_y","cns_z","mcns_x","mcns_y","mcns_z"
"1",388026.548726357,161159.77894533,167533.582869129,386965.490259231,161234.263483714,167483.224222027
"2",316430.668740888,61913.849452852,170284.967627672,455425.177641579,60079.9940676022,176836.897252075
"3",448916.70508522,60418.0393650935,171139.716249248,322040.025807815,65000.768110839,163696.145318335
"4",386935.592398,193888.468796046,208371.714760634,397735.257646259,193971.021058087,204496.132341543
"5",274930.74268666,152795.780427924,222699.60787306,500662.05286831,141283.681472117,219608.907314008
"6",501849.658984959,141522.5650349,219899.486630276,273530.34744795,152715.742912024,223157.569939799
"7",390374.229172946,358625.533258953,202136.516502854,389205.850449161,357771.389331553,202118.787634389
"8",391470.708810441,346564.257246505,250637.465801391,392043.169346968,346654.262993054,250506.832471217
"9",300097.40568584,308187.469934173,240842.247706435,482693.329736376,300441.324315643,236398.485100825
"10",482113.025510046,296857.180346722,235944.638658957,301310.134761331,304866.945056272,241807.103376918
"11",435695.387522748,246053.623809444,240622.951778936,350360.206512311,256873.679108247,245314.9746963
"12",345784.05724814,253363.488059412,241134.642276433,442287.522033138,240017.919444306,233701.909808697
"13",264353.060605499,182932.129138741,151045.919495833,517097.028604384,175618.924853363,140205.347503358
"14",515372.9078474,176609.913434747,140441.262233123,266040.480015463,184365.995418504,151178.932652092
"15",454442.88184975,261756.991009664,139151.22596314,330385.528176383,274594.2750627,138957.907987891
"16",330067.849110709,276755.05365931,143621.05318186,454238.537788821,263633.579276548,145153.204529709
"17",370272.102485533,205483.877222121,151954.298426823,407103.772732763,198725.475170335,152765.29530058
"18",411207.342285355,200001.479034645,151369.509286826,365608.663568772,209234.16252811,149759.595465731
"19",613704.892481376,156201.16728562,309726.485860817,173795.699614886,152660.514015187,321344.448396172
"20",170238.96517562,167008.106307924,319930.559426534,611572.514656347,174543.028720924,307332.9900401
"21",238191.480590938,335991.908793565,270355.139375107,532497.37755535,324264.567732161,262609.915758092
"22",540117.114996754,336062.04998435,288892.270665946,228575.358643338,350084.28607268,291870.039648661
"23",351336.738774885,200430.70684232,107763.800294709,421614.927889688,190518.951050035,101322.160730191
"24",335051.198197124,226704.752779607,100604.835437616,444030.47231338,205977.850007597,91911.2318100912
"25",424379.834462462,159948.954018079,169974.814918016,348679.942791861,162110.728969019,170349.871527082
"26",350456.633652977,161269.011175391,170502.837780941,422752.017579123,159293.969562892,170359.092192665
"27",517314.694095091,233231.290645447,231104.02398023,257844.456971556,236130.944164227,238952.938348895
"28",257423.324576406,232268.16356528,230181.954161019,520249.989470141,227618.870712587,221773.829786974
"29",245230.877470416,144815.738763188,158189.556626709,535013.106361693,135856.782651132,158279.746034063
"30",535159.431121423,136103.361524927,157802.339860563,245364.261280362,144997.19829698,157821.443901873
"31",551394.481950676,202480.563378466,180216.770631262,228662.752309272,211430.092145712,188263.173125659
"32",227126.347473459,211720.963479652,187145.609644998,553201.105070621,203011.12802023,179251.692581798
"33",145390.554472369,118634.605143162,266812.659911405,646834.580646537,119918.28650453,266841.082997764
"34",630291.550258391,107194.10977979,266812.659911405,155873.783871786,119578.633309596,269383.30418154
"35",581449.435437839,350964.664830113,303510.248884684,183158.65689328,353819.251383755,323457.329598274
"36",723165.040810715,260378.772965116,294788.525968607,68531.4761627334,261762.261461408,323235.875204426
"37",120778.958023906,336502.069036788,334874.261645655,648196.941138448,322337.571225931,316586.775350686
"38",549683.525213891,107246.642478744,243727.351064708,218999.103458717,107992.238425784,249863.503185884
"39",535602.915535894,100206.337639745,171080.205507293,235190.192417012,113341.480070106,171541.369473667
"40",508321.734284774,126607.480785989,131346.485072196,272968.765473591,126215.272872236,136895.377316396
"41",532962.801221269,207130.967382035,136274.698459494,250691.567201159,226262.985510164,139339.290948552
